id,fund_category_fund_level,fund_type_fund_level_3,fund_group_fund_level_2,fund_fund_level_1,department_cost_center_level,division_cost_center_level,cost_center_cost_center_level,account_category_account,account_type_account_level,adopted_budget,amended_budget,fiscal_year,account_description,center_value,fund_value,account_value
1876,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Westpark CFD 2 SD Public Services,CFD/LLD/SD,LLD/SD,Services Districts,Revenue,Taxes,2543738.0,2543738.0,2024,Property Tax - Special Assessment Current,80251,2113,4050
1877,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Longmeadow CFD 2 SD,CFD/LLD/SD,LLD/SD,Services Districts,Revenue,Taxes,173143.0,173143.0,2024,Property Tax - Special Assessment Current,80251,2114,4050
1878,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Infill Services District CFD 4 SD,CFD/LLD/SD,LLD/SD,Services Districts,Revenue,Taxes,249004.0,249004.0,2024,Property Tax - Special Assessment Current,80251,2115,4050
1879,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Infill Services District CFD 4 Annex 4 SD,CFD/LLD/SD,LLD/SD,Services Districts,Revenue,Taxes,96858.0,96858.0,2024,Property Tax - Special Assessment Current,80251,2116,4050
1880,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Stone Point CFD 4 SD,CFD/LLD/SD,LLD/SD,Services Districts,Revenue,Taxes,102991.0,102991.0,2024,Property Tax - Special Assessment Current,80251,2117,4050
1881,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Roseville CFD 2 SD Zone E,CFD/LLD/SD,LLD/SD,Services Districts,Revenue,Taxes,22918.0,22918.0,2024,Property Tax - Special Assessment Current,80251,2118,4050
1882,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Westbrook Services District CFD 2 SD,CFD/LLD/SD,LLD/SD,Services Districts,Revenue,Taxes,868600.0,868600.0,2024,Property Tax - Special Assessment Current,80251,2119,4050
1883,Governmental Activities,Special Revenue Funds,LLD & Service Districts,HP Campus Oaks CFD 2 SD,CFD/LLD/SD,LLD/SD,Services Districts,Revenue,Taxes,365557.0,365557.0,2024,Property Tax - Special Assessment Current,80251,2120,4050
1884,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Creekview CFD 2 SD,CFD/LLD/SD,LLD/SD,Services Districts,Revenue,Taxes,270037.0,270037.0,2024,Property Tax - Special Assessment Current,80251,2121,4050
1885,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Sierra Vista Services District CFD 2 SD,CFD/LLD/SD,LLD/SD,Services Districts,Revenue,Taxes,943784.0,943784.0,2024,Property Tax - Special Assessment Current,80251,2122,4050
1886,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Amoruso Ranch CFD 2 SD,CFD/LLD/SD,LLD/SD,Services Districts,Revenue,Taxes,39033.0,39033.0,2024,Property Tax - Special Assessment Current,80251,2124,4050
1887,Governmental Activities,Capital Project Funds,CFD Capital Project,Westpark CFD 1 Capital,CFD/LLD/SD,CFD Capital Projects,CFD Capital Projects,Revenue,Other Revenue,1447767.0,1625035.0,2024,Revenue from Other Agencies,80301,3007,4780
1888,Governmental Activities,Capital Project Funds,CFD Capital Project,Westbrook CFD 1 Capital,CFD/LLD/SD,CFD Capital Projects,CFD Capital Projects,Revenue,Other Revenue,420000.0,420000.0,2024,Revenue from Other Agencies,80301,3012,4780
1889,Governmental Activities,Capital Project Funds,CFD Capital Project,HP Campus Oaks Capital,CFD/LLD/SD,CFD Capital Projects,CFD Capital Projects,Revenue,Other Revenue,115000.0,385000.0,2024,Revenue from Other Agencies,80301,3013,4780
1890,Fiduciary Funds,Custodial Funds,CFDs,Vernon Street PBID Association,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,214915.0,215513.0,2024,Property Tax - Special Assessment Current,80701,7401,4050
1891,Fiduciary Funds,Custodial Funds,CFDs,Stoneridge Parcel 1 CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,144500.0,151680.0,2024,Property Tax - Special Assessment Current,80701,7416,4050
1892,Fiduciary Funds,Custodial Funds,CFDs,Highland Reserve North CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,2600000.0,2607564.0,2024,Property Tax - Special Assessment Current,80701,7417,4050
1893,Fiduciary Funds,Custodial Funds,CFDs,Woodcreek East CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,490000.0,490000.0,2024,Property Tax - Special Assessment Current,80701,7419,4050
1894,Fiduciary Funds,Custodial Funds,CFDs,Stoneridge West CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,926990.0,940592.0,2024,Property Tax - Special Assessment Current,80701,7420,4050
1895,Fiduciary Funds,Custodial Funds,CFDs,Stoneridge East CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,1190000.0,1206256.0,2024,Property Tax - Special Assessment Current,80701,7421,4050
1896,Fiduciary Funds,Custodial Funds,CFDs,Crocker Ranch CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,1435000.0,1453969.0,2024,Property Tax - Special Assessment Current,80701,7422,4050
1897,Fiduciary Funds,Custodial Funds,CFDs,Stone Point CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,638000.0,638000.0,2024,Property Tax - Special Assessment Current,80701,7423,4050
1898,Fiduciary Funds,Custodial Funds,CFDs,Fiddyment Ranch CFD 1 - Public Facilities,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,3900000.0,3900000.0,2024,Property Tax - Special Assessment Current,80701,7424,4050
1899,Fiduciary Funds,Custodial Funds,CFDs,Westpark CFD 1 - Public Facilities,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,7278134.0,7278134.0,2024,Property Tax - Special Assessment Current,80701,7425,4050
1900,Fiduciary Funds,Custodial Funds,CFDs,Longmeadow Parkside CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,593000.0,593000.0,2024,Property Tax - Special Assessment Current,80701,7426,4050
1901,Fiduciary Funds,Custodial Funds,CFDs,Stone Point CFD 5,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,378526.0,378526.0,2024,Property Tax - Special Assessment Current,80701,7427,4050
1902,Fiduciary Funds,Custodial Funds,CFDs,Diamond Creek CFD1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,430000.0,439805.0,2024,Property Tax - Special Assessment Current,80701,7428,4050
1903,Fiduciary Funds,Custodial Funds,CFDs,The Fountains CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,820000.0,820000.0,2024,Property Tax - Special Assessment Current,80701,7429,4050
1904,Fiduciary Funds,Custodial Funds,CFDs,Westbrook CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,2802000.0,2802000.0,2024,Property Tax - Special Assessment Current,80701,7431,4050
1905,Fiduciary Funds,Custodial Funds,CFDs,HP Campus Oaks,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,1510000.0,1555712.0,2024,Property Tax - Special Assessment Current,80701,7432,4050
1906,Fiduciary Funds,Custodial Funds,CFDs,Fiddyment Ranch CFD 5 Overlay,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,3800000.0,3800000.0,2024,Property Tax - Special Assessment Current,80701,7433,4050
1907,Fiduciary Funds,Custodial Funds,CFDs,Creekview CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,1200000.0,1324529.0,2024,Property Tax - Special Assessment Current,80701,7434,4050
1908,Fiduciary Funds,Custodial Funds,CFDs,Westpark Federico CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,1000000.0,1394240.0,2024,Property Tax - Special Assessment Current,80701,7435,4050
1909,Fiduciary Funds,Custodial Funds,CFDs,Villages at Sierra Vista CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,1892000.0,2265795.0,2024,Property Tax - Special Assessment Current,80701,7436,4050
1910,Fiduciary Funds,Custodial Funds,CFDs,The Ranch at Sierra Vista CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,1713000.0,2619250.0,2024,Property Tax - Special Assessment Current,80701,7438,4050
1911,Fiduciary Funds,Custodial Funds,CFDs,Baseline at Sierra Vista CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Taxes,410571.0,410571.0,2024,Property Tax - Special Assessment Current,80701,7439,4050
1912,Governmental Activities,General Funds,General,General,Project Related,Project Related,Project Related,Revenue,Charges for Services,5850000.0,5850000.0,2024,Full Cost and Consolidated Billings,84001,1001,4230
1913,Governmental Activities,Special Revenue Funds,Grants,Community Development Block Grant,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,280000.0,280000.0,2024,Federal Grants,84001,2201,4401
1914,Governmental Activities,Special Revenue Funds,Grants,Grants Fund,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,1031250.0,4502139.0,2024,State Grants,84001,2270,4410
1915,Governmental Activities,Special Revenue Funds,State Gas Tax,Road Maintenance and Rehab,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,250000.0,250000.0,2024,State Grants,84001,2307,4410
1916,Governmental Activities,Special Revenue Funds,Housing Successor Low Mod,Housing Successor Low Mod,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,250000.0,250000.0,2024,State Grants,84001,2841,4410
1917,Governmental Activities,Capital Project Funds,Development Impact,Bike Trail,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,20000.0,20000.0,2024,Local Transportation Funds,84001,3380,4425
1918,Governmental Activities,Capital Project Funds,Development Impact,Pleasant Grove Drainage Basin,Project Related,Project Related,Project Related,Revenue,Other Revenue,0.0,66660.0,2024,Revenue from Other Agencies,84001,3385,4780
1919,Business Type Funds,Enterprise Funds,Water,Water Construction,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,0.0,8010000.0,2024,State Grants,84001,6120,4410
1920,Business Type Funds,Enterprise Funds,Local Transportation,Transit,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,10515000.0,12020436.0,2024,Federal Grants,84001,6511,4401
1921,Business Type Funds,Enterprise Funds,Local Transportation,Transit,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,2930000.0,3821481.0,2024,State Grants,84001,6511,4410
1922,Business Type Funds,Enterprise Funds,Local Transportation,Transit,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,1861306.0,2688715.0,2024,Local Transportation Funds,84001,6511,4425
1923,Business Type Funds,Enterprise Funds,Wastewater,Wastewater Operations,Environmental Utilities,Wastewater,Recycled Water,Revenue,Licenses and Permits,500.0,500.0,2023,Base Hydrant Permits,74340,6201,4176
1924,Business Type Funds,Enterprise Funds,Local Transportation,Transit,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,0.0,208665.0,2024,SB 1 - State of Good Repair,84001,6511,4426
1925,Governmental Activities,General Funds,General,General,Police,Police,Patrol,Revenue,Taxes,1066000.0,1066000.0,2024,Sales Tax - State Aid Public Safety Services,44040,1001,4064
1926,Business Type Funds,Enterprise Funds,Local Transportation,Transit,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,0.0,1186000.0,2024,Other Grants,84001,6511,4435
1927,Business Type Funds,Enterprise Funds,Local Transportation,Transportation,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,4309763.0,10746320.0,2024,Federal Grants,84001,6520,4401
1928,Business Type Funds,Enterprise Funds,Local Transportation,Transportation,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,6239000.0,6239000.0,2024,State Grants,84001,6520,4410
1929,Business Type Funds,Enterprise Funds,Local Transportation,Transportation,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,525.0,525.0,2024,State Transit Assistance,84001,6520,4420
1930,Business Type Funds,Enterprise Funds,Local Transportation,Transportation,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,10118073.0,14055817.0,2024,Local Transportation Funds,84001,6520,4425
1931,Business Type Funds,Enterprise Funds,Local Transportation,Transportation,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,650000.0,650000.0,2024,Other Grants,84001,6520,4435
1932,Governmental Activities,General Funds,General,Litigation Reserve,Non-Classified,Non-Classified,Non-Classified,Revenue,Other Sources,250000.0,0.0,2024,Other Sources,10001,1040,0
1933,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,75000.0,75000.0,2022,Highway Vehicles In Lieu Tax,10001,1001,4090
1934,Governmental Activities,Special Revenue Funds,Tree Propagation,Native Oak Tree Propagation,"Parks, Recreation & Libraries",Parks,Open Space,Revenue,Capital Contributions from Developers and Governmental Activities,0.0,285914.0,2024,Permit Fees - Mitigation,58120,2541,4602
1935,Fiduciary Funds,Custodial Funds,CFDs,Longmeadow Parkside CFD 1,CFD/LLD/SD,CFD Special Assessments,CFD Special Assessments,Revenue,Other Revenue,0.0,6385080.0,2024,Proceeds from Sales of Bonds,80701,7426,4710
1936,Governmental Activities,General Funds,General,General,Project Related,Project Related,Project Related,Revenue,Grants and Contributions,0.0,1741222.0,2024,Other Grants,84001,1001,4435
1937,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,47900000.0,48145000.0,2023,Property Tax - Secured Taxes Current,10001,1001,4001
1938,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,998000.0,998000.0,2023,Property Tax - Unsecured Taxes Current,10001,1001,4011
1939,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,6000.0,6000.0,2023,Property Tax - Unsecured Taxes Prior,10001,1001,4015
1940,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,1100000.0,1100000.0,2023,Property Tax - Supplemental,10001,1001,4021
1941,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,568000.0,568000.0,2023,Property Tax - Public Utility Property,10001,1001,4023
1942,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,12795000.0,12795000.0,2023,Property Tax - in Lieu,10001,1001,4025
1943,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,755000.0,755000.0,2023,Property Tax - ABX1 26 AB1484,10001,1001,4030
1944,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,292000.0,292000.0,2023,Property Tax - State Homeowners Tax Relief,10001,1001,4040
1945,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,74091000.0,74091000.0,2023,Sales Tax - Sales and Use Tax,10001,1001,4060
1946,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,28100000.0,28100000.0,2023,Sales Tax - Measure B,10001,1001,4061
1947,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,1200000.0,1200000.0,2023,Property Transfer Tax,10001,1001,4070
1948,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,856000.0,856000.0,2023,Business License Tax,10001,1001,4080
1949,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,4000000.0,4000000.0,2023,Hotel Motel Room Tax,10001,1001,4085
1950,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Licenses and Permits,4000.0,4000.0,2023,Other Licenses or Permits,10001,1001,4190
1951,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Charges for Services,2200000.0,2200000.0,2023,Franchise Fees,10001,1001,4273
1952,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Charges for Services,75000.0,75000.0,2023,Administrative Fees,10001,1001,4390
1953,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Grants and Contributions,17500.0,17500.0,2023,State Mandated Payments,10001,1001,4440
1954,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,928948.0,928948.0,2023,Rental Revenue,10001,1001,4480
1955,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,1080000.0,1080000.0,2023,Lease Revenue,10001,1001,4490
1956,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,15496496.0,16562194.0,2023,Transfers in - Operating,10001,1001,4801
1957,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,972563.0,972563.0,2023,Transfers in - Loans,10001,1001,4890
1958,Governmental Activities,General Funds,General,Emergency Reserve,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,177553.0,177553.0,2023,Interest Revenue,10001,1010,4451
1959,Governmental Activities,General Funds,General,Emergency Reserve,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,1250000.0,1250000.0,2023,Transfers in - Operating,10001,1010,4801
1960,Governmental Activities,General Funds,General,Stabilization Reserve,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,264441.0,264441.0,2023,Interest Revenue,10001,1011,4451
1961,Governmental Activities,General Funds,General,Stabilization Reserve,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,1370000.0,1370000.0,2023,Transfers in - Operating,10001,1011,4801
1962,Governmental Activities,General Funds,General,General Fund Capital Reserve Fund,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,10000000.0,14486252.0,2023,Transfers in - Operating,10001,1012,4801
1963,Governmental Activities,General Funds,General,Development Services Stabilization Reserve,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,0.0,518392.0,2023,Transfers in - Operating,10001,1013,4801
1964,Governmental Activities,General Funds,General,Contributions by Developers,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,2620.0,2620.0,2023,Interest Revenue,10001,1020,4451
1965,Governmental Activities,General Funds,General,Contributions by Developers,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,467.0,467.0,2023,Interest on Notes and Loans,10001,1020,4457
1966,Governmental Activities,General Funds,General,Contributions by Developers,Non-Classified,Non-Classified,Non-Classified,Revenue,Capital Contributions from Developers and Governmental Activities,512000.0,512000.0,2023,Permit Fees - Contribution for Non-Capital,10001,1020,4601
1967,Governmental Activities,General Funds,General,Strategic Improvement,Non-Classified,Non-Classified,Non-Classified,Revenue,Charges for Services,1900000.0,1900000.0,2023,Permit Fees - Public Benefit Fee,10001,1030,4212
1968,Governmental Activities,General Funds,General,Strategic Improvement,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,199663.0,199663.0,2023,Interest Revenue,10001,1030,4451
1969,Governmental Activities,General Funds,General,Strategic Improvement,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,74578.0,74578.0,2023,Interest on Notes and Loans,10001,1030,4457
1970,Governmental Activities,General Funds,General,Strategic Improvement,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,270000.0,4270182.0,2023,Transfers in - Operating,10001,1030,4801
1971,Governmental Activities,General Funds,General,Litigation Reserve,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,3067.0,3067.0,2023,Interest Revenue,10001,1040,4451
1972,Governmental Activities,General Funds,General,Stormwater,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,150751.0,315696.0,2023,Transfers in - Operating,10001,1130,4801
1973,Governmental Activities,General Funds,General,Parks and Recreation Donation,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,6303.0,6303.0,2023,Interest Revenue,10001,1200,4451
1974,Governmental Activities,General Funds,General,Roseville Youth Sports Coalition,Non-Classified,Non-Classified,Non-Classified,Revenue,Charges for Services,43550.0,43550.0,2023,Parks and Recreation Use Fees,10001,1201,4363
1975,Governmental Activities,General Funds,General,Roseville Youth Sports Coalition,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,3710.0,3710.0,2023,Interest Revenue,10001,1201,4451
1976,Governmental Activities,General Funds,General,Harrigan Trust Adult Literacy,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,2784.0,2784.0,2023,Interest Revenue,10001,1202,4451
1977,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Johnson Ranch LLD Zone A,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,107.0,107.0,2023,Interest Revenue,10001,2001,4451
1978,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Johnson Ranch LLD Zone B,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,12.0,12.0,2023,Interest Revenue,10001,2002,4451
1979,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Johnson Ranch LLD Zone C,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,40.0,40.0,2023,Interest Revenue,10001,2003,4451
1980,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Johnson Ranch LLD Zone D,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,3.0,3.0,2023,Interest Revenue,10001,2004,4451
1981,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Johnson Ranch LLD Zone E,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,54.0,54.0,2023,Interest Revenue,10001,2005,4451
1982,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Olympus Pointe LLD Zone A Commercial,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,4180.0,4180.0,2023,Interest Revenue,10001,2006,4451
1983,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Olympus Pointe LLD Zone A Commercial,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,0.0,412.0,2023,Transfers in - Operating,10001,2006,4801
1984,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Olympus Pointe LLD Zone D Residential,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,1382.0,1382.0,2023,Interest Revenue,10001,2007,4451
1985,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Olympus Pointe LLD Zone D Residential,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,0.0,168.0,2023,Transfers in - Operating,10001,2007,4801
1986,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North West Roseville LLD Zone A,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,4839.0,4839.0,2023,Interest Revenue,10001,2008,4451
1987,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North West Roseville LLD Zone A,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,0.0,557.0,2023,Transfers in - Operating,10001,2008,4801
1988,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North West Roseville LLD Zone B,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,98.0,98.0,2023,Interest Revenue,10001,2009,4451
1989,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Central Roseville LLD Zone A District Wide,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,4603.0,4603.0,2023,Interest Revenue,10001,2010,4451
1990,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Central Roseville LLD Zone A District Wide,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,0.0,292.0,2023,Transfers in - Operating,10001,2010,4801
1991,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Central Roseville LLD Zone B Local Benefit,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,3112.0,3112.0,2023,Interest Revenue,10001,2011,4451
1992,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Central Roseville LLD Zone B Local Benefit,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,0.0,243.0,2023,Transfers in - Operating,10001,2011,4801
1993,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Central Roseville LLD Zone F Diamond Oaks 10,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,471.0,471.0,2023,Interest Revenue,10001,2012,4451
1994,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Central Roseville LLD Zone G Diamond Oaks 14,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,696.0,696.0,2023,Interest Revenue,10001,2013,4451
1995,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Infill LLD Zone A,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,281.0,281.0,2023,Interest Revenue,10001,2014,4451
1996,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Infill LLD Zone A,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,0.0,214.0,2023,Transfers in - Operating,10001,2014,4801
1997,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Infill LLD Zone B,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,571.0,571.0,2023,Interest Revenue,10001,2015,4451
1998,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Infill LLD Zone B,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,0.0,139.0,2023,Transfers in - Operating,10001,2015,4801
1999,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Infill LLD Zone C,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,458.0,458.0,2023,Interest Revenue,10001,2017,4451
2000,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Infill LLD Zone C,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,0.0,227.0,2023,Transfers in - Operating,10001,2017,4801
2001,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Vernon Street LLD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,1659.0,1659.0,2023,Interest Revenue,10001,2019,4451
2002,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Vernon Street LLD,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,0.0,580.0,2023,Transfers in - Operating,10001,2019,4801
2003,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Historic District LLD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,1317.0,1317.0,2023,Interest Revenue,10001,2021,4451
2004,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Historic District LLD,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,0.0,580.0,2023,Transfers in - Operating,10001,2021,4801
2005,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Riverside Avenue LLD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,1875.0,1875.0,2023,Interest Revenue,10001,2023,4451
2006,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Riverside Avenue LLD,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,0.0,580.0,2023,Transfers in - Operating,10001,2023,4801
2007,Governmental Activities,Special Revenue Funds,LLD & Service Districts,NWSP LLD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,5948.0,5948.0,2023,Interest Revenue,10001,2025,4451
2008,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Roseville CFD 2 SD Zone A,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property and Money,3523.0,3523.0,2023,Interest Revenue,10001,2101,4451
